21010=Bedside Tables;hg_furniture_bedside_tables
22342=Automotive Trades;automotive_trades
22222=Sales Management;sales_management
22223=New Business Development;new_business_development
22224=Sales Coordinator;sales_coordinator
22225=Other;other_sales
22346=Electrician;electrician
21019=Picture Frames;hg_home_decor_picture_frames
22347=Fitter, Turner & Machinist;fitter_turner_machinist
21018=Pots & Garden Beds;hg_garden_pots_gardenbeds
22348=Florist;florist
21130=Construction Vehicles;construction_vehicles
18403=Other Home & Garden;other_home_garden
18646=Hairdressing;hairdressing
18647=Massages;massages
18648=Other Health, Fitness & Beauty;other_health_fitness_beauty
21226=Financial Accounting & Reporting;financial_accounting_reporting
20016=Flooring;flooring
20015=Fencing & Gates;fencing_gates
21225=Business Services & Corporate Advisory;business_services_corporate_advisory
21104=Headphones & Earphones;audio_headphones
20014=Concreting & Paving;concreting_paving
21224=Bookkeeping & Small Practice Accounting;bookkeeping_small_practice_accounting
20013=Dress Making & Alterations;dressmaking_alterations
21222=Accounts Payable;accounts_payable
21101=Radios & Receivers;audio_radio_receivers
20011=Campervans & Motorhomes;campervan
20010=Computer & Phone Repairs;computer_phone_repairs
18299=Other;other_accounting
18294=Flatshare & Houseshare;shared_accomodation
21229=Taxation;taxation
22313=Police & Corrections Officer;police_corrections_officer
21108=Lenses;cameras_lenses
21228=Payroll Accounting;payroll_accounting
22314=Other;other_government_defence
21107=Digital SLR;digital_slr
21227=Financial Manager & Controller;financial_manager_controller
18616=Console Accessories;video_games_consoles_accessories
18617=Playstation;playstation
18619=Video Cameras;video_cameras
18615=Video Games;video_games
22327=Trade Marketing;trade_marketing
22328=Other;other_marketing_communications
18620=Video Camera Accessories;video_camera_accessories
21115=TVs;tvs
18621=Digital Compact Cameras;digital_cameras
18501=Architecture;architecture
21113=Android Phones;android_phones
21111=Monitors;monitors
20021=Training;training
21110=Modems & Routers;modem_routers
20020=Sitting;sitting
22201=Retail Management;retail_management
22202=Merchandiser;merchandiser
22324=Marketing Assistants;marketing_assistants
22203=Other;other_retail
21119=Xbox;xbox
22325=Marketing Communications;marketing_communications
22326=Public Relations & Corporate Affairs;public_relations_corporate_affairs
21117=DVD Players;dvd_players
18627=Motorcycle & Scooter Accessories;motorcycle_scooter_accessories
18628=Motorcycle & Scooter Parts;motorcycle_scooter_parts
18629=Scooters;scooters
18623=Non Digital Cameras;non_digital_cameras
18625=Other Audio;audio_other
18626=Motorcycles;motorcycles
21203=Project Management;project_management
21200=Contract Management;contract_management
22305=Mechanical Engineering;mechanical_engineering
21214=Vet & Animal Welfare;vet_animal_welfare
21213=Horticulture;horticulture
21212=Farm Management;farm_management
18600=Other Phones;other_phones
21211=Agronomy & Farm Services;agronomy_farm_services
20009=Mechanics & Garages;mechanics_garages
22301=Automotive Engineering;automotive_engineering
22302=Building Services Engineering;building_services_engineering
22303=Civil/Structural Engineering;civil_structural_engineering
21118=Electronics & Computer TV & DVD players Home Theatre Systems;home_theatre_systems
18572=Women's Shoes;womens_shoes
20059=Cooktops Rangehoods;hg_appliances_cooktop_rangehood
